MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
Sc2NOH,1,,,,,,,,,,1,,,,1,,,,,1,-0.43,583,1.838,3.207,3.254
Sc2NO2,1,,,,,,,,,,1,,,1,,,,,,1,1.04,581,1.668,3.238,3.112
Ti2COH,,1,,,,,,,,1,,,,,1,,,,,1,-0.55,571,1.825,3.073,3.128
Ti2CO2,,1,,,,,,,,1,,,,1,,,,,,1,0.49,569,1.645,3.032,3.035
Sc2CF2,1,,,,,,,,,1,,1,,,,,,,,1,-0.65,569,1.675,3.263,3.215
Ti2NOH,,1,,,,,,,,,1,,,,1,,,,,1,-0.52,565,1.827,3.063,3.131
Ti2NO2,,1,,,,,,,,,1,,,1,,,,,,1,0.33,563,1.647,3.003,3.02
Sc2NF2,1,,,,,,,,,,1,1,,,,,,,,1,-0.62,563,1.669,3.184,3.163
V2COH,,,1,,,,,,,1,,,,,1,,,,,1,-0.61,553,1.817,3,3.063
Ti2CF2,,1,,,,,,,,1,,1,,,,,,,,1,-0.55,552,1.655,3.054,3.077
V2CO2,,,1,,,,,,,1,,,,1,,,,,,1,0.75,551,1.626,2.895,2.996
V2NOH,,,1,,,,,,,,1,,,,1,,,,,1,-0.56,547,1.822,3.054,3.109
Cr2COH,,,,1,,,,,,1,,,,,1,,,,,1,-0.6,547,1.821,3.032,3.096
V2NO2,,,1,,,,,,,,1,,,1,,,,,,1,0.54,546,1.639,2.905,3.019
Ti2NF2,,1,,,,,,,,,1,1,,,,,,,,1,-0.59,546,1.655,3.062,3.077
Cr2CO2,,,,1,,,,,,1,,,,1,,,,,,1,0.94,545,1.599,2.899,3.061
Cr2NOH,,,,1,,,,,,,1,,,,1,,,,,1,-0.57,541,1.823,3.033,3.106
Cr2NO2,,,,1,,,,,,,1,,,1,,,,,,1,0.78,540,1.615,2.866,3.006
V2CF2,,,1,,,,,,,1,,1,,,,,,,,1,-0.49,535,1.657,2.978,3.036
V2NF2,,,1,,,,,,,,1,1,,,,,,,,1,-0.54,529,1.655,3.043,3.08
Cr2CF2,,,,1,,,,,,1,,1,,,,,,,,1,0.07,529,1.661,3.021,3.089
Cr2NF2,,,,1,,,,,,,1,1,,,,,,,,1,-0.22,524,1.662,3.036,3.087
Zr2C,,,,,1,,,,,1,,,,,,1,,,,1,0.46,441,1.663,3.28,3.316
Zr2N,,,,,1,,,,,,1,,,,,1,,,,1,0.6,437,1.656,3.25,3.277
Zr2CH2,,,,,1,,,,,1,,,1,,,,,,,1,-0.12,437,1.671,3.317,3.318
Nb2C,,,,,,1,,,,1,,,,,,1,,,,1,0.71,435,1.637,3.119,3.143
Zr2NH2,,,,,1,,,,,,1,,1,,,,,,,1,-0.04,434,1.665,3.253,3.247
Nb2N,,,,,,1,,,,,1,,,,,1,,,,1,0.77,432,1.638,3.137,3.142
Nb2CH2,,,,,,1,,,,1,,,1,,,,,,,1,0.12,432,1.654,3.115,3.139
Nb2NH2,,,,,,1,,,,,1,,1,,,,,,,1,0.12,428,1.642,2.957,3.055
Mo2C,,,,,,,1,,,1,,,,,,1,,,,1,0.89,425,1.624,3.005,3.071
Mo2N,,,,,,,1,,,,1,,,,,1,,,,1,0.85,421,1.602,2.79,2.955
Mo2CH2,,,,,,,1,,,1,,,1,,,,,,,1,0.27,421,1.646,2.938,3.046
Mo2NH2,,,,,,,1,,,,1,,1,,,,,,,1,0.06,418,1.623,2.788,2.935
Zr2COH,,,,,1,,,,,1,,,,,1,,,,,1,-0.37,391,1.847,3.331,3.354
Zr2CO2,,,,,1,,,,,1,,,,1,,,,,,1,-0.09,390,1.684,3.317,3.216
Zr2NOH,,,,,1,,,,,,1,,,,1,,,,,1,-0.35,388,1.847,3.302,3.349
Zr2NO2,,,,,1,,,,,,1,,,1,,,,,,1,-0.21,387,1.684,3.269,3.182
Nb2CO2,,,,,,1,,,,1,,,,1,,,,,,1,0.15,385,1.671,3.133,3.128
Nb2NO2,,,,,,1,,,,,1,,,1,,,,,,1,-0.12,382,1.636,3.136,2.96
Nb2COH,,,,,,1,,,,1,,,,,1,,,,,1,-0.3,382,1.677,3.204,3.166
Zr2CF2,,,,,1,,,,,1,,1,,,,,,,,1,-0.66,381,1.681,3.321,3.26
Nb2NOH,,,,,,1,,,,,1,,,,1,,,,,1,-0.03,380,1.687,2.958,3.145
Zr2NF2,,,,,1,,,,,,1,1,,,,,,,,1,-0.68,379,1.678,3.308,3.241
